transaction_id,user_id,amount,timestamp,country,state,location,device,payment_method,is_local,is_out_of_state,is_international,state_risk_level,international_risk_level,prev_transactions_24h,avg_amount_30d,transaction_hour,is_weekend,amount_to_avg_ratio,risk_score,fraud_score,label,is_high_amount,is_business_hours,is_suspicious_time
2e6e61631905,1049969,100.93,2025-04-25T17:12:47.146249,JP,,JP,iOS,Credit Card,0,0,1,0,3,0,17123.25,17,0,0.01,78,7,1,0,1,0
00ba918c4bb0,9044483,64.91,2025-04-19T22:25:19.169419,IN,Telangana,"Telangana, India",Android,Net Banking,0,1,0,1,0,1,1968.03,22,1,0.03,33,3,0,0,0,0
9b5c24a13bc1,9860592,844.51,2025-04-03T18:57:36.169470,IN,Maharashtra,"Maharashtra, India",Android,UPI,0,1,0,2,0,1,3866.91,18,0,0.22,38,3,0,0,0,0
b1c1716e2241,6264468,62.94,2025-04-22T10:36:21.169495,IN,Uttar Pradesh,"Uttar Pradesh, India",Android,Debit Card,0,1,0,3,0,0,4586.93,10,0,0.01,32,4,0,0,1,0
ef74934e1c88,5872857,4.95,2025-04-16T22:36:01.169513,IN,Gujarat,"Gujarat, India",Android,Debit Card,0,1,0,2,0,1,4082.99,22,0,0.0,38,4,0,0,0,0
fafef0c35da8,1041382,138.14,2025-03-30T07:01:07.169530,IN,Gujarat,"Gujarat, India",Android,Net Banking,0,1,0,2,0,1,4073.12,7,1,0.03,38,4,0,0,0,0
bb603efc2563,4698714,705.96,2025-04-04T05:11:05.169543,AU,,AU,Android,Credit Card,0,0,1,0,2,0,29108.04,5,0,0.02,72,8,1,0,0,1
2fa1548fbb8c,7846412,259.45,2025-05-08T09:06:18.169559,IN,Tamil Nadu,"Tamil Nadu, India",Android,Debit Card,0,1,0,1,0,3,3370.62,9,0,0.08,23,2,0,0,1,0
4667fdb0064a,1840902,470.78,2025-04-30T21:26:50.169571,IN,Maharashtra,"Maharashtra, India",Android,Debit Card,0,1,0,2,0,1,4112.76,21,0,0.11,24,3,0,0,0,0
ce76d85a70f4,9240473,747.38,2025-05-26T20:57:32.169588,FR,,FR,Android,Credit Card,0,0,1,0,2,0,10278.01,20,0,0.07,61,6,0,0,0,0
84ddb11e0cd4,2566813,20.63,2025-05-10T09:25:56.169602,IN,Karnataka,"Karnataka, India",Android,Credit Card,1,0,0,0,0,6,2031.83,9,1,0.01,23,2,0,0,1,0
